Server_ID,CPU_Usage,RAM_Usage,Disk_Usage,Network_Traffic,Active_Users,Running_Processes,Server_Uptime,Response_Time,Error_Count,Server_Status
S001,66.0,61.0,58,668.0,96.0,185,189,301.0,4.0,Warning
S002,29.0,34.0,39,271.0,30.0,115,236,173.0,1.0,Normal
S003,86.0,87.0,76,641.0,116.0,192,110,489.0,12.0,Warning
S004,75.0,85.0,74,689.0,74.0,211,429,411.0,6.0,Warning
S005,35.0,28.0,41,246.0,53.0,87,489,200.0,0.0,Normal
S006,97.0,94.0,99,950.0,138.0,235,368,493.0,14.0,Normal
S007,89.0,85.0,75,849.0,70.0,221,351,403.0,5.0,Warning
S008,56.0,74.0,85,701.0,95.0,199,393,496.0,3.0,Warning
S009,38.0,41.0,32,232.0,57.0,128,60,239.0,2.0,Normal
S010,17.0,20.0,25,361.0,22.0,53,111,161.0,0.0,Normal
S011,36.0,36.0,57,362.0,52.0,139,275,267.0,0.0,Normal
S012,67.0,65.0,72,700.0,73.0,164,202,360.0,7.0,Warning
S013,16.0,20.0,25,100.0,25.0,69,613,125.0,0.0,Normal
S014,44.0,40.0,55,374.0,53.0,156,620,244.0,1.0,Normal
S015,52.0,49.0,77,484.0,82.0,126,633,306.0,0.0,Warning
S016,16.0,20.0,28,236.0,27.0,50,624,142.0,0.0,Normal
S017,78.0,76.0,60,625.0,100.0,149,359,418.0,8.0,Warning
S018,74.0,78.0,68,694.0,84.0,196,292,382.0,6.0,Warning
S019,35.0,57.5,50,269.0,38.0,82,542,250.0,5.0,Normal
S020,47.0,49.0,39,436.0,53.0,179,415,255.0,0.0,Normal
S021,90.0,93.0,95,761.0,114.0,156,379,462.0,5.0,Warning
S022,72.0,71.0,81,670.0,81.0,220,156,304.0,4.0,Warning
S023,36.0,20.0,25,436.0,51.0,121,275,241.0,1.0,Normal
S024,63.0,63.0,62,460.0,109.0,160,267,366.0,5.0,Warning
S025,73.0,74.0,34,493.0,102.0,165,555,400.0,6.0,Warning
S026,56.0,81.0,44,497.5,65.0,160,308,216.0,5.0,Normal
S027,74.0,72.0,71,668.0,108.0,180,566,467.0,3.0,Warning
S028,94.0,97.0,79,711.0,107.0,242,103,453.0,13.0,Warning
S029,29.0,29.0,49,463.0,8.0,107,96,220.0,0.0,Normal
S030,76.0,64.0,59,662.0,77.0,188,570,329.0,9.0,Warning
S031,76.0,87.0,71,758.0,64.0,175,148,401.0,7.0,Warning
S032,61.0,69.0,63,553.0,70.0,157,69,302.5,6.0,Normal
S033,76.0,84.0,93,837.0,93.0,192,622,391.0,8.0,Warning
S034,65.0,56.0,48,733.0,105.0,123,539,423.0,6.0,Warning
S035,69.0,83.0,83,581.0,89.0,139,468,372.0,7.0,Warning
S036,78.0,64.0,78,753.0,91.0,206,111,400.0,10.0,Warning
S037,17.0,23.0,25,297.0,37.0,88,194,187.0,0.0,Normal
S038,65.0,87.0,71,698.0,47.0,161,265,359.0,7.0,Warning
S039,21.0,20.0,25,180.0,33.0,91,52,159.0,0.0,Normal
S040,35.0,29.0,28,427.0,57.0,123,209,232.0,4.0,Warning
S041,87.0,88.0,88,824.0,83.0,189,169,511.0,6.0,Warning
S042,53.0,48.0,48,333.0,83.0,126,138,291.0,8.0,Normal
S043,56.0,20.0,33,238.0,47.0,114,378,200.0,0.0,Normal
S044,18.0,20.0,26,100.0,19.0,61,629,171.0,0.0,Normal
S045,74.0,63.0,93,614.0,100.0,191,406,429.0,7.0,Warning
S046,28.0,33.0,25,381.0,71.0,60,659,256.0,0.0,Normal
S047,23.0,20.0,49,416.0,34.0,120,316,203.0,1.0,Normal
S048,67.0,82.0,44,596.0,86.0,181,666,315.0,4.0,Warning
S049,16.0,20.0,25,379.0,17.0,89,372,198.0,0.0,Normal
S050,98.0,95.0,99,682.0,105.0,246,684,428.0,5.0,Warning
S051,74.0,82.0,77,485.0,103.0,222,590,402.0,5.0,Warning
S052,85.0,73.0,78,710.0,90.0,225,698,381.0,2.0,Warning
S053,58.0,60.0,56,561.0,73.0,108,244,313.0,0.0,Warning
S054,22.0,35.0,25,271.0,70.0,60,381,174.0,1.0,Normal
S055,61.0,45.0,54,361.0,82.0,143,219,321.0,6.0,Warning
S056,49.0,51.0,59,455.0,66.0,139,570,299.0,4.0,Normal
S057,92.0,95.0,96,647.0,126.0,224,512,526.0,6.0,Critical
S058,95.0,99.0,87,845.0,107.0,198,89,485.0,9.0,Warning
S059,50.0,38.0,61,503.0,58.0,145,586,266.0,3.0,Normal
S060,64.0,51.0,68,483.0,64.0,145,310,351.0,2.0,Warning
S061,18.0,23.0,28,200.0,19.0,70,444,184.0,2.0,Normal
S062,16.0,20.0,25,137.0,29.0,50,275,96.0,0.0,Normal
S063,20.0,23.0,25,254.0,39.0,66,173,183.0,0.0,Normal
S064,68.0,71.0,61,682.0,69.0,137,87,373.0,5.0,Warning
S065,18.0,20.0,27,157.0,39.0,61,377,142.0,0.0,Critical
S066,68.0,70.0,75,641.0,104.0,197,300,425.0,0.0,Warning
S067,77.0,80.0,77,611.0,100.0,162,225,395.0,6.0,Warning
S068,32.0,57.5,33,273.0,70.0,175,651,219.0,0.0,Normal
S069,58.0,77.0,73,516.0,60.0,166,503,316.0,1.0,Warning
S070,48.0,53.0,41,363.0,42.0,141,86,253.0,2.0,Normal
S071,88.0,76.0,95,686.0,80.0,183,365,379.0,13.0,Warning
S072,76.0,83.0,74,544.0,115.0,202,642,357.0,8.0,Warning
S073,28.0,20.0,25,493.0,47.0,88,163,248.0,0.0,Normal
S074,62.0,70.0,75,557.0,75.0,163,89,312.0,6.0,Warning
S075,29.0,41.0,39,260.0,43.0,168,350,167.0,4.0,Normal
S076,86.0,78.0,96,741.0,87.0,199,273,347.0,10.0,Warning
